chapter,verse,text
1,1,"Ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ χριστοῦ, υἱοῦ {Ν υἱοῦ τοῦ θεοῦ > [υἱοῦ θεοῦ] } τοῦ θεοῦ."
1,2,"Ὡς {Ν Ὡς > Καθὼς } γέγραπται ἐν τοῖς {Ν τοῖς προφήταις > τῷ Ἠσαΐᾳ τῷ προφήτῃ } προφήταις, Ἰδού, ἐγὼ {Ν ἐγὼ > - } ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου, ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν {Ν ἔμπροσθέν σου > - } σου."
1,3,"Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ, Ἑτοιμάσατε τὴν ὁδὸν κυρίου· εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ."
1,4,"Ἐγένετο Ἰωάννης βαπτίζων {Ν βαπτίζων > [ὁ] βαπτίζων } ἐν τῇ ἐρήμῳ, καὶ κηρύσσων βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν."
1,5,"Καὶ ἐξεπορεύετο πρὸς αὐτὸν πᾶσα ἡ Ἰουδαία χώρα, καὶ οἱ Ἱεροσολυμῖται, καὶ {Ν καὶ ἐβαπτίζοντο πάντες > πάντες καὶ ἐβαπτίζοντο } ἐβαπτίζοντο πάντες ἐν {Ν ἐν τῷ Ἰορδάνῃ ποταμῷ ὑπ' αὐτοῦ > ὑπ' αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ } τῷ Ἰορδάνῃ ποταμῷ ὑπ' αὐτοῦ, ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν."
1,6,"Ἦν {Ν Ἦν δὲ > Καὶ ἦν } δὲ ὁ Ἰωάννης ἐνδεδυμένος τρίχας καμήλου, καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, καὶ ἐσθίων ἀκρίδας καὶ μέλι ἄγριον."
1,7,"Καὶ ἐκήρυσσεν, λέγων, Ἔρχεται ὁ ἰσχυρότερός μου ὀπίσω μου, οὗ οὐκ εἰμὶ ἱκανὸς κύψας λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ."
1,8,Ἐγὼ μὲν {Ν μὲν > - } ἐβάπτισα ὑμᾶς {Ν ὑμᾶς ἐν ὕδατι > ὑμᾶς ὕδατι } ἐν ὕδατι· αὐτὸς δὲ βαπτίσει ὑμᾶς ἐν πνεύματι ἁγίῳ.
1,9,"Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις, ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας, καὶ ἐβαπτίσθη ὑπὸ {Ν ὑπὸ Ἰωάννου εἰς τὸν Ἰορδάνην > εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου } Ἰωάννου εἰς τὸν Ἰορδάνην."
1,10,"Καὶ εὐθέως {Ν εὐθέως > εὐθὺς } ἀναβαίνων ἀπὸ {Ν ἀπὸ > ἐκ } τοῦ ὕδατος, εἶδεν σχιζομένους τοὺς οὐρανούς, καὶ τὸ πνεῦμα ὡσεὶ {Β ὡσεὶ > ὡς } {Ν ὡσεὶ > ὡς } περιστερὰν καταβαῖνον ἐπ' {Ν ἐπ' > εἰς } αὐτόν·"
1,11,"καὶ φωνὴ ἐγένετο ἐκ τῶν οὐρανῶν, Σὺ εἶ ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ {Ν ᾧ > σοὶ } εὐδόκησα."
1,12,Καὶ εὐθὺς τὸ πνεῦμα αὐτὸν ἐκβάλλει εἰς τὴν ἔρημον.
1,13,"Καὶ ἦν ἐκεῖ {Ν ἐκεῖ > - } ἐν τῇ ἐρήμῳ ἡμέρας {Ν ἡμέρας τεσσαράκοντα > τεσσεράκοντα ἡμέρας } τεσσαράκοντα πειραζόμενος ὑπὸ τοῦ Σατανᾶ, καὶ ἦν μετὰ τῶν θηρίων, καὶ οἱ ἄγγελοι διηκόνουν αὐτῷ."
1,14,"Μετὰ δὲ τὸ παραδοθῆναι τὸν Ἰωάννην, ἦλθεν ὁ Ἰησοῦς εἰς τὴν Γαλιλαίαν, κηρύσσων τὸ εὐαγγέλιον τῆς {Ν τῆς βασιλείας > - } βασιλείας τοῦ θεοῦ,"
1,15,"καὶ λέγων ὅτι Πεπλήρωται ὁ καιρός, καὶ ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε, καὶ πιστεύετε ἐν τῷ εὐαγγελίῳ."
1,16,Περιπατῶν {Ν Περιπατῶν δὲ > Καὶ παράγων } δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν Σίμωνα καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ {Ν αὐτοῦ τοῦ > - } τοῦ Σίμωνος βάλλοντας {Ν βάλλοντας ἀμφίβληστρον > ἀμφιβάλλοντας } ἀμφίβληστρον ἐν τῇ θαλάσσῃ· ἦσαν γὰρ ἁλιεῖς.
1,17,"Καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς, Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων."
1,18,"Καὶ εὐθέως {Ν εὐθέως > εὐθὺς } ἀφέντες τὰ δίκτυα αὐτῶν, {Ν αὐτῶν > - } ἠκολούθησαν αὐτῷ."
1,19,"Καὶ προβὰς ἐκεῖθεν {Ν ἐκεῖθεν > - } ὀλίγον, εἶδεν Ἰάκωβον τὸν τοῦ Ζεβεδαίου, καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, καὶ αὐτοὺς ἐν τῷ πλοίῳ καταρτίζοντας τὰ δίκτυα."
1,20,Καὶ εὐθέως {Ν εὐθέως > εὐθὺς } ἐκάλεσεν αὐτούς· καὶ ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ.
1,21,"Καὶ εἰσπορεύονται εἰς Καπερναούμ· {Ν Καπερναούμ καὶ εὐθέως > Καφαρναούμ καὶ εὐθὺς } καὶ εὐθέως τοῖς σάββασιν εἰσελθὼν εἰς τὴν συναγωγήν, ἐδίδασκεν."
1,22,"Καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ· ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων, καὶ οὐχ ὡς οἱ γραμματεῖς."
1,23,"Καὶ ἦν {Ν ἦν > εὐθὺς ἦν } ἐν τῇ συναγωγῇ αὐτῶν ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ, καὶ ἀνέκραξεν,"
1,24,"λέγων, Ἔα, {Ν Ἔα > - } τί ἡμῖν καὶ σοί, Ἰησοῦ Ναζαρηνέ; Ἦλθες ἀπολέσαι ἡμᾶς; Οἶδά σε τίς εἶ, ὁ ἅγιος τοῦ θεοῦ."
1,25,"Καὶ ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς, λέγων, Φιμώθητι, καὶ ἔξελθε ἐξ αὐτοῦ."
1,26,"Καὶ σπαράξαν αὐτὸν τὸ πνεῦμα τὸ ἀκάθαρτον καὶ κράξαν {Ν κράξαν > φωνῆσαν } φωνῇ μεγάλῃ, ἐξῆλθεν ἐξ αὐτοῦ."
